id;requesting_user;title;description;urgency;valid_to;contributor_count;has_contributed;is_blocked
1;mobile Fish;Home Loan Account Table Computer;Trace;HIGH;2019-12-15T12:03:48;96990;true;true
2;red Chips Soap;Home Loan Account;web-readiness;MEDIUM;2019-12-15T10:04:09;4666;false;true
3;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD;LOW;2019-12-15T04:10:02;30461;false;false
4;Nakfa;Bahamian Dollar Investment Account;Games Regional Digitized;HIGH;2019-12-15T00:17:46;56770;false;false
5;synthesizing Views e-enable;Credit Card Account National Awesome;Aruba;LOW;2019-12-14T23:20:07;35675;true;false
6;Faroe Islands Plastic;Car Industrial deliverables;orange Books;MEDIUM;2019-12-15T11:38:24;92630;false;true
7;Internal;Investment Account archive Fantastic Plastic Chicken;payment;MEDIUM;2019-12-15T04:13:37;11959;true;true
8;synthesize Idaho compress;Sleek Metal Table Small;Intelligent Outdoors;LOW;2019-12-14T15:38:09;13933;false;true
9;Saint Lucia white;Generic neutral Salad;Auto Loan Account modular Refined;LOW;2019-12-14T16:13:07;53934;false;true
10;National;Direct;Profit-focused;HIGH;2019-12-15T13:15:01;16465;true;true
